Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,294,284,283,411,505,426,562,578
Expenses+,253,249,233,379,499,408,506,525
Operating Profit,40,34,50,32,5,18,57,53
OPM %,14%,12%,18%,8%,1%,4%,10%,9%
Other Income+,-1,1,4,6,6,28,4,5
Interest,5,4,2,5,14,13,16,16
Depreciation,8,8,9,12,15,16,19,19
Profit before tax,26,23,44,21,-18,18,25,23
Tax %,30%,2%,27%,30%,4%,13%,33%,
Net Profit+,18,23,32,15,-18,16,17,15
EPS in Rs,14.88,18.98,26.78,16.10,-9.88,17.01,16.76,15.05
Dividend Payout %,20%,16%,13%,3%,-5%,3%,9%,
