Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"10,505","9,771","10,101","8,573","10,818","14,071","18,548","25,045","28,584"
Expenses+,"9,732","9,151","9,302","7,949","9,965","12,906","17,180","23,461","26,750"
Operating Profit,774,620,799,624,853,"1,165","1,368","1,585","1,834"
OPM %,7%,6%,8%,7%,8%,8%,7%,6%,6%
Other Income+,32,42,80,45,38,5,74,140,179
Interest,390,418,419,405,360,353,379,422,382
Depreciation,202,224,239,225,232,245,274,343,383
Profit before tax,214,21,221,39,299,572,789,960,"1,247"
Tax %,34%,123%,36%,115%,25%,24%,24%,26%,
Net Profit+,141,-5,142,-6,224,432,596,714,931
EPS in Rs,1.70,-0.04,1.70,-0.06,2.18,4.20,5.80,6.93,9.02
Dividend Payout %,0%,0%,0%,0%,0%,12%,21%,22%,
