Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,239,310,351,363,433,509,579,583
Expenses+,213,277,317,321,382,397,468,477
Operating Profit,26,33,34,42,51,112,111,107
OPM %,11%,11%,10%,12%,12%,22%,19%,18%
Other Income+,1,1,1,2,2,5,5,5
Interest,10,14,14,17,19,29,28,27
Depreciation,2,3,3,4,6,7,7,7
Profit before tax,14,18,18,24,29,82,81,78
Tax %,78%,24%,25%,26%,26%,26%,30%,
Net Profit+,3,14,14,18,21,60,57,58
EPS in Rs,0.84,3.82,3.76,4.92,5.96,16.84,12.18,13.31
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,
