Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,699,594,"1,349",996,709,869,700,415,353,349,388,336,344
Expenses+,787,685,"1,266",933,732,821,730,448,507,348,477,330,332
Operating Profit,-89,-90,83,62,-24,48,-30,-34,-153,1,-89,7,12
OPM %,-13%,-15%,6%,6%,-3%,6%,-4%,-8%,-43%,0%,-23%,2%,3%
Other Income+,22,28,35,-62,177,333,-133,25,13,-86,95,16,11
Interest,142,186,198,201,206,60,60,60,28,13,6,8,7
Depreciation,32,41,46,43,33,27,14,9,9,9,5,5,5
Profit before tax,-241,-289,-126,-244,-85,294,-237,-77,-177,-106,-5,10,10
Tax %,2%,-27%,4%,25%,3%,2%,17%,5%,2%,19%,60%,90%,
Net Profit+,-247,-209,-132,-306,-87,287,-278,-81,-180,-126,-7,1,2
EPS in Rs,-33.31,-24.13,-9.19,-18.32,-6.28,17.32,-15.73,-4.61,-10.22,-6.98,-0.32,0.51,0.55
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
