Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,32,30,26,39,62,74,72,74
Expenses+,21,20,15,23,28,30,37,47
Operating Profit,10,10,11,17,34,44,35,27
OPM %,33%,34%,42%,42%,55%,59%,48%,37%
Other Income+,2,2,2,2,2,5,6,6
Interest,0,0,0,0,0,0,0,0
Depreciation,2,3,3,4,6,4,4,4
Profit before tax,10,9,11,15,30,45,37,29
Tax %,30%,28%,26%,26%,26%,25%,24%,
Net Profit+,7,7,8,11,23,34,28,22
EPS in Rs,1.36,1.30,1.55,2.13,4.44,6.65,5.54,4.31
Dividend Payout %,9%,24%,13%,28%,23%,30%,27%,
