Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,540,605,940,"1,203","1,431","1,590","1,563","1,641","1,840","2,752","2,896","3,277","3,405"
Expenses+,447,508,784,999,"1,194","1,357","1,344","1,404","1,580","2,439","2,572","2,944","3,076"
Operating Profit,93,97,156,204,237,233,219,237,260,313,324,333,329
OPM %,17%,16%,17%,17%,17%,15%,14%,14%,14%,11%,11%,10%,10%
Other Income+,4,4,10,18,21,38,-5,34,48,38,59,46,75
Interest,14,17,26,30,27,25,23,19,15,36,51,60,64
Depreciation,8,9,16,27,37,41,58,57,59,95,104,122,130
Profit before tax,74,75,123,164,193,205,133,194,235,220,228,197,210
Tax %,32%,33%,35%,31%,28%,35%,22%,27%,26%,31%,27%,50%,
Net Profit+,51,50,80,114,138,134,104,143,173,152,167,99,109
EPS in Rs,4.23,4.19,5.48,8.66,9.90,9.57,7.43,10.20,12.51,10.99,12.08,7.16,7.87
Dividend Payout %,22%,23%,19%,17%,14%,16%,24%,17%,16%,21%,21%,41%,
