Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,36.03,23.32,30.62,32.97,40.35,42.48,48.33,42.08,33.98,40.33,39.96,41.87,41.96
Expenses+,26.02,16.33,25.78,26.71,32.43,34.89,43.73,36.78,33.64,35.07,34.33,36.29,36.61
Operating Profit,10.01,6.99,4.84,6.26,7.92,7.59,4.60,5.30,0.34,5.26,5.63,5.58,5.35
OPM %,27.78%,29.97%,15.81%,18.99%,19.63%,17.87%,9.52%,12.60%,1.00%,13.04%,14.09%,13.33%,12.75%
Other Income+,1.42,1.47,7.70,3.69,3.73,2.59,4.77,2.72,5.75,1.43,2.33,1.19,1.12
Interest,3.38,2.87,2.04,2.61,2.43,2.03,2.86,2.91,1.77,2.71,2.17,1.05,0.97
Depreciation,4.80,2.40,2.10,2.61,3.61,4.43,6.39,7.05,5.25,5.71,5.31,5.53,5.45
Profit before tax,3.25,3.19,8.40,4.73,5.61,3.72,0.12,-1.94,-0.93,-1.73,0.48,0.19,0.05
Tax %,22.77%,-11.29%,33.81%,29.18%,27.63%,30.65%,-333.33%,-14.95%,-101.08%,50.29%,-20.83%,131.58%,
Net Profit+,2.52,3.54,5.55,3.35,4.06,2.57,0.52,-1.66,0.01,-2.60,0.58,-0.06,-0.19
EPS in Rs,0.17,0.24,0.38,0.21,0.21,0.13,0.03,-0.09,0.00,-0.14,0.03,-0.00,0.02
Dividend Payout %,-0.00%,-0.00%,-0.00%,-0.00%,-0.00%,-0.00%,-0.00%,-0.00%,-0.00%,-0.00%,-0.00%,-0.00%,
