Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,965,687,532,746,929,"1,338","1,818","1,866"
Expenses+,874,680,507,674,852,"1,038","1,327","1,369"
Operating Profit,92,7,25,73,77,301,491,497
OPM %,9%,1%,5%,10%,8%,22%,27%,27%
Other Income+,55,44,10,4,54,6,5,31
Interest,73,71,76,82,90,90,42,43
Depreciation,36,37,38,36,34,33,36,40
Profit before tax,38,-58,-79,-42,7,185,418,444
Tax %,52%,-13%,-2%,16%,175%,18%,24%,
Net Profit+,18,-50,-77,-48,-5,151,316,337
EPS in Rs,6.27,-17.07,-26.19,-16.38,-1.66,6.63,13.90,14.80
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,
