Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,0.02,1.88,5.36,6.09,8.11,14.05,8.05,14.74,6.47,3.90,3.95
Expenses+,1.65,4.67,8.87,11.06,10.85,10.51,22.66,30.90,18.20,11.27,10.23
Operating Profit,-1.63,-2.79,-3.51,-4.97,-2.74,3.54,-14.61,-16.16,-11.73,-7.37,-6.28
OPM %,"-8,150.00%",-148.40%,-65.49%,-81.61%,-33.79%,25.20%,-181.49%,-109.63%,-181.30%,-188.97%,-158.99%
Other Income+,-0.00,0.04,0.09,0.18,1.27,1.14,1.24,1.67,0.50,0.89,0.73
Interest,-0.00,0.01,-0.00,-0.00,0.08,0.05,-0.00,0.25,0.21,0.10,0.08
Depreciation,0.02,0.09,0.07,0.25,0.56,0.50,0.09,1.70,2.09,1.49,1.29
Profit before tax,-1.65,-2.85,-3.49,-5.04,-2.11,4.13,-13.46,-16.44,-13.53,-8.07,-6.92
Tax %,-0.00%,0.35%,2.29%,-1.19%,2.84%,1.21%,-4.68%,-2.43%,2.66%,0.12%,
Net Profit+,-1.65,-2.86,-3.57,-4.98,-2.17,4.08,-12.83,-16.04,-13.89,-8.08,-6.95
EPS in Rs,-8.80,-5.87,-5.48,-3.63,-1.58,2.98,-8.86,-11.04,-9.50,-5.49,-4.73
Dividend Payout %,-0.00%,-0.00%,-0.00%,-0.00%,-0.00%,-0.00%,-0.00%,-0.00%,-0.00%,-0.00%,
