Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"2,285","2,136","2,418","2,958","3,098","4,083","3,471","2,768","4,020","5,180","4,690","4,491","4,713"
Expenses+,"1,779","1,630","1,851","2,229","2,693","3,434","2,863","2,508","3,662","4,174","3,920","4,060","4,332"
Operating Profit,506,506,567,729,405,649,608,260,358,"1,006",770,431,381
OPM %,22%,24%,23%,25%,13%,16%,18%,9%,9%,19%,16%,10%,8%
Other Income+,17,17,22,37,34,-34,36,70,49,43,69,95,101
Interest,128,155,122,252,245,233,223,193,156,182,223,216,205
Depreciation,192,137,144,208,222,227,231,235,229,264,291,304,309
Profit before tax,203,230,324,306,-28,155,191,-99,22,603,325,5,-33
Tax %,20%,28%,20%,14%,51%,39%,32%,-34%,35%,36%,36%,30%,
Net Profit+,161,167,260,265,-42,94,130,-65,14,388,208,4,-20
EPS in Rs,23.29,24.09,37.54,38.23,-6.09,13.64,18.79,-9.41,2.07,56.04,30.08,0.54,-2.90
Dividend Payout %,26%,25%,20%,20%,-82%,55%,32%,-32%,194%,9%,13%,560%,
