Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,26.82,34.44,47.78,54.90,45.42,47.38,40.33,61.35,30.35,38.49,35.37
Expenses+,21.83,28.54,40.61,48.73,39.40,41.31,34.65,54.06,27.41,34.88,32.97
Operating Profit,4.99,5.90,7.17,6.17,6.02,6.07,5.68,7.29,2.94,3.61,2.40
OPM %,18.61%,17.13%,15.01%,11.24%,13.25%,12.81%,14.08%,11.88%,9.69%,9.38%,6.79%
Other Income+,0.10,0.51,0.23,0.35,0.35,0.56,0.46,1.35,0.64,0.66,0.73
Interest,3.07,3.48,3.33,1.63,0.99,0.58,0.37,0.39,0.25,0.25,0.21
Depreciation,1.49,2.07,2.15,2.35,2.29,2.41,2.32,2.08,1.50,1.15,1.14
Profit before tax,0.53,0.86,1.92,2.54,3.09,3.64,3.45,6.17,1.83,2.87,1.78
Tax %,66.04%,-81.40%,43.23%,11.02%,25.89%,26.37%,25.51%,33.23%,42.62%,25.09%,
Net Profit+,0.19,1.55,1.09,2.26,2.30,2.68,2.57,4.12,1.05,2.15,1.37
EPS in Rs,0.23,1.91,0.99,2.05,2.09,2.43,2.33,3.74,0.95,1.95,1.24
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
