Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,750,"1,348","3,003","1,702",927,"1,295","2,805","2,401","1,685","2,133","3,754","3,449","1,647"
Expenses+,714,"1,270","2,799","1,570",868,"1,216","2,586","2,211","1,574","1,984","3,472","3,199","1,563"
Operating Profit,37,79,204,132,60,78,220,191,111,150,282,250,84
OPM %,5%,6%,7%,8%,6%,6%,8%,8%,7%,7%,8%,7%,5%
Other Income+,12,9,19,19,13,5,18,21,18,16,19,30,16
Interest,24,29,37,45,37,37,48,52,49,54,55,63,77
Depreciation,32,36,39,43,45,47,51,55,57,59,58,62,70
Profit before tax,-7,22,146,63,-9,0,138,104,24,53,189,154,-48
Tax %,-69%,32%,26%,26%,-40%,270%,28%,28%,11%,30%,37%,31%,-33%
Net Profit+,-2,15,108,47,-6,-1,99,75,21,37,118,106,-32
EPS in Rs,-0.88,4.20,30.86,13.55,-2.06,-0.14,28.10,21.48,5.69,10.61,34.32,30.66,-9.35
Raw PDF,,,,,,,,,,,,,
