Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"2,809","3,044","3,207","3,516","3,863","4,098","3,847",310,858,"2,120","1,080",802,659
Expenses+,"1,803","2,229","2,254","2,501","2,876","2,392","3,191",226,566,805,154,143,461
Operating Profit,"1,006",815,953,"1,016",988,"1,707",656,84,292,"1,316",926,659,198
OPM %,36%,27%,30%,29%,26%,42%,17%,27%,34%,62%,86%,82%,30%
Other Income+,121,87,729,257,"1,004",290,164,-625,"2,974","3,301",75,640,-418
Interest,965,"1,474","1,651","1,890","1,643","1,513","1,484",305,421,"1,074",534,423,324
Depreciation,438,706,549,669,725,792,802,52,136,400,227,224,191
Profit before tax,-276,"-1,278",-518,"-1,286",-376,-307,"-1,468",-898,"2,709","3,143",240,652,-734
Tax %,52%,-9%,15%,4%,43%,-1%,5%,4%,3%,2%,12%,8%,
Net Profit+,-393,"-1,136",-687,"-1,344",-537,-304,"-1,545",-937,"2,636","3,071",211,598,-785
EPS in Rs,-2.49,-5.29,-4.35,-8.25,-3.56,-2.30,-9.46,-4.84,16.75,15.44,0.13,3.58,-1.63
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
