Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,194,148,159,173,187,168,110,57,83,117,134,189,195
Expenses+,209,149,155,167,184,166,109,58,78,113,142,192,191
Operating Profit,-15,-1,5,6,3,2,1,-1,6,4,-8,-3,5
OPM %,-8%,-1%,3%,4%,1%,1%,1%,-2%,7%,3%,-6%,-2%,2%
Other Income+,4,3,3,4,4,3,10,5,2,2,3,2,2
Interest,5,5,5,2,1,1,1,1,1,1,2,2,2
Depreciation,1,3,2,2,2,2,2,2,2,1,1,1,1
Profit before tax,-17,-6,1,6,4,2,8,1,5,4,-8,-4,3
Tax %,-1%,-5%,-11%,35%,13%,95%,5%,-49%,2%,67%,-1%,-45%,
Net Profit+,-17,-6,1,4,3,0,7,1,5,1,-8,-2,4
EPS in Rs,-12.60,-4.12,0.84,2.80,2.35,0.07,5.38,1.03,3.64,0.85,-6.18,-1.60,2.88
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
