Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,42,75,97,102,56,81,112,163,163,166
Expenses+,34,65,85,94,55,74,104,148,166,157
Operating Profit,9,10,12,8,1,7,8,15,-3,9
OPM %,21%,13%,12%,8%,2%,8%,8%,9%,-2%,6%
Other Income+,0,0,-1,0,-0,0,0,0,1,2
Interest,1,2,3,2,3,3,4,4,5,5
Depreciation,1,1,2,2,2,1,1,3,2,2
Profit before tax,6,7,7,4,-4,2,4,9,-9,4
Tax %,38%,27%,23%,21%,-2%,3%,42%,26%,24%,
Net Profit+,4,5,5,3,-4,2,2,6,-12,2
EPS in Rs,28.36,7.11,4.52,2.74,-3.15,2.12,1.93,5.72,-10.36,1.35
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,
