Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,244,257,182,293,263,349,367,391
Expenses+,221,237,157,251,228,300,322,345
Operating Profit,23,20,25,42,34,49,45,46
OPM %,9%,8%,14%,14%,13%,14%,12%,12%
Other Income+,0,0,1,3,5,4,16,20
Interest,7,6,6,6,5,5,7,8
Depreciation,10,9,7,10,12,17,16,16
Profit before tax,7,5,14,29,21,30,37,42
Tax %,32%,34%,28%,27%,27%,28%,26%,
Net Profit+,5,4,10,22,15,22,27,31
EPS in Rs,0.55,0.47,1.18,3.02,2.13,2.08,2.47,3.40
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,
