Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,705,"1,086",593,762,566,593,611,166,394,607,212,372,226
Expenses+,535,662,508,712,509,567,692,260,481,717,383,542,414
Operating Profit,171,424,86,50,57,26,-81,-94,-88,-110,-171,-170,-188
OPM %,24%,39%,14%,7%,10%,4%,-13%,-56%,-22%,-18%,-81%,-46%,-83%
Other Income+,51,61,92,113,123,134,-100,34,200,239,246,277,396
Interest,50,51,36,20,41,12,8,11,7,11,7,19,12
Depreciation,10,13,4,5,4,4,8,7,7,12,14,18,22
Profit before tax,161,421,138,139,135,143,-196,-78,99,106,54,70,174
Tax %,32%,33%,31%,24%,23%,17%,-1%,-8%,-63%,3%,-81%,13%,
Net Profit+,110,283,95,106,103,119,-195,-71,162,103,98,61,162
EPS in Rs,4.77,12.59,4.34,4.83,4.77,5.65,-9.13,-3.38,7.27,4.77,4.61,2.87,7.59
Dividend Payout %,24%,18%,27%,24%,30%,26%,0%,0%,20%,35%,42%,71%,
