Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,280,336,273,424,559,752,980,"1,030"
Expenses+,179,225,195,240,310,421,539,567
Operating Profit,102,110,78,184,249,331,441,463
OPM %,36%,33%,28%,43%,45%,44%,45%,45%
Other Income+,4,1,6,1,0,0,1,47
Interest,6,3,3,2,4,6,12,16
Depreciation,16,21,17,16,17,19,25,30
Profit before tax,83,87,64,168,228,306,405,464
Tax %,30%,29%,29%,24%,26%,26%,26%,
Net Profit+,58,62,45,127,169,226,301,345
EPS in Rs,11.01,11.35,8.20,15.20,20.19,26.88,36.12,41.38
Dividend Payout %,0%,0%,31%,36%,30%,26%,39%,
