Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,100,119,103,175,200,243,224,229
Expenses+,93,108,91,148,150,187,195,209
Operating Profit,7,10,12,27,51,56,30,21
OPM %,7%,9%,12%,16%,25%,23%,13%,9%
Other Income+,0,0,0,1,0,4,4,5
Interest,4,4,4,4,4,9,15,16
Depreciation,4,5,5,6,6,10,14,16
Profit before tax,-1,1,3,18,41,41,5,-6
Tax %,53%,-69%,8%,11%,26%,25%,30%,
Net Profit+,-1,2,2,16,30,31,3,-5
EPS in Rs,-0.10,0.17,0.17,1.14,2.14,2.18,0.68,0.14
Dividend Payout %,0%,14%,14%,13%,9%,9%,0%,
