Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,722.16,760.92,729.04,645.09,613.18,878.89,845.15,809.76,812.71,967.11,849.60,821.41,874.94
Expenses+,643.89,685.20,650.73,567.47,546.99,802.71,764.61,749.91,742.38,879.27,816.65,746.18,787.81
Operating Profit,78.27,75.72,78.31,77.62,66.19,76.18,80.54,59.85,70.33,87.84,32.95,75.23,87.13
OPM %,10.84%,9.95%,10.74%,12.03%,10.79%,8.67%,9.53%,7.39%,8.65%,9.08%,3.88%,9.16%,9.96%
Other Income+,22.52,28.02,17.61,13.24,24.39,31.84,70.32,61.12,31.83,7.48,61.13,9.74,2.69
Interest,5.00,4.72,7.04,7.88,8.56,25.20,26.98,28.23,28.28,28.76,35.27,29.17,28.07
Depreciation,20.50,22.40,26.07,22.66,21.87,29.92,41.34,39.51,47.87,45.35,49.88,46.12,49.52
Profit before tax,75.29,76.62,62.81,60.32,60.15,52.90,82.54,53.23,26.01,21.21,8.93,9.68,12.23
Tax %,28.84%,20.18%,30.60%,28.18%,25.95%,27.30%,17.41%,12.47%,22.53%,13.72%,-139.75%,50.10%,37.78%
Net Profit+,53.58,61.15,43.59,43.32,44.27,31.17,65.15,46.61,20.24,18.59,22.18,6.55,9.96
EPS in Rs,5.44,6.20,4.43,4.41,4.04,2.83,5.94,4.23,1.83,1.73,1.98,0.60,0.89
Raw PDF,,,,,,,,,,,,,
