Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"4,830","4,482","4,453","4,015","3,937","3,566","2,844","2,708","3,230","2,651","2,798","3,012","2,984"
Expenses+,"3,805","3,772","3,959","4,002","3,935","3,604","2,725","2,771","2,932","2,550","2,707","2,619","2,542"
Operating Profit,"1,026",709,494,13,2,-38,119,-63,298,101,91,393,442
OPM %,21%,16%,11%,0%,0%,-1%,4%,-2%,9%,4%,3%,13%,15%
Other Income+,88,67,66,114,-238,116,133,975,-163,-172,17,62,-33
Interest,83,55,129,225,255,265,276,249,299,302,305,254,211
Depreciation,140,145,142,149,150,164,224,246,247,251,223,217,217
Profit before tax,891,575,289,-247,-641,-351,-247,417,-411,-624,-420,-16,-19
Tax %,5%,28%,13%,-9%,4%,-38%,-82%,-65%,-32%,-0%,12%,256%,
Net Profit+,843,413,252,-226,-667,-217,-43,689,-279,-621,-472,-57,-51
EPS in Rs,58.91,28.30,17.45,-13.62,-42.30,-13.52,-4.81,47.64,-16.94,-38.80,-30.18,-2.89,-1.42
Dividend Payout %,13%,54%,0%,-56%,0%,0%,0%,0%,0%,0%,0%,0%,
