Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Revenue+,"9,835","10,162","13,631","18,178","28,324"
Interest,"5,213","4,889","6,601","9,568","15,030"
Expenses+,"2,826","2,908","3,018","3,951","8,032"
Financing Profit,"1,797","2,364","4,013","4,659","5,263"
Financing Margin %,18%,23%,29%,26%,19%
Other Income+,152,260,150,21,46
Depreciation,334,276,226,288,390
Profit before tax,"1,615","2,348","3,937","4,392","4,919"
Tax %,23%,23%,25%,24%,26%
Net Profit+,"1,245","1,801","2,946","3,327","3,655"
EPS in Rs,3.20,4.69,8.51,8.41,9.64
Dividend Payout %,0%,3%,2%,2%,4%
