Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,61,146,121,81,91,110,197,240,292,325,352
Expenses+,48,129,96,57,58,78,148,181,216,231,243
Operating Profit,12,17,25,24,33,33,49,59,76,93,108
OPM %,20%,11%,21%,30%,36%,30%,25%,24%,26%,29%,31%
Other Income+,0,0,1,0,2,2,3,6,9,13,12
Interest,5,7,8,8,13,11,5,5,8,13,14
Depreciation,2,2,3,4,4,4,4,6,12,18,20
Profit before tax,6,8,15,12,18,20,44,54,66,74,87
Tax %,33%,34%,23%,20%,17%,16%,17%,11%,21%,10%,
Net Profit+,4,5,12,9,15,17,36,48,52,67,77
EPS in Rs,0.38,0.51,1.14,0.91,1.47,1.38,2.98,3.94,4.26,5.45,6.29
Dividend Payout %,0%,0%,9%,0%,3%,4%,3%,3%,2%,2%,
