Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,18,126,117,161,241,272,269,246,267
Expenses+,16,120,110,154,230,260,268,236,244
Operating Profit,2,6,7,8,10,12,1,10,23
OPM %,10%,5%,6%,5%,4%,4%,0%,4%,9%
Other Income+,0,0,0,0,0,0,0,0,0
Interest,1,2,2,2,3,4,6,4,4
Depreciation,0,0,0,0,0,0,1,0,1
Profit before tax,1,4,4,5,8,8,-5,5,19
Tax %,20%,26%,28%,28%,28%,28%,-23%,31%,
Net Profit+,1,3,3,4,5,6,-4,4,14
EPS in Rs,0.18,0.31,0.33,0.40,0.59,0.62,-0.45,0.39,1.48
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,
