Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,10,8,1,142,153,401,299,210,216,326,380,274,401
Expenses+,10,9,4,173,172,248,116,163,266,322,242,218,183
Operating Profit,-0,-1,-3,-32,-18,153,184,46,-50,4,138,57,219
OPM %,-1%,-11%,-388%,-22%,-12%,38%,61%,22%,-23%,1%,36%,21%,55%
Other Income+,0,33,4,1,98,48,34,35,-133,14,11,206,22
Interest,51,41,50,31,44,205,193,167,182,184,188,54,8
Depreciation,0,0,0,0,0,34,36,39,43,57,82,74,72
Profit before tax,-51,-8,-50,-62,35,-37,-12,-125,-408,-222,-121,134,161
Tax %,0%,0%,0%,1%,33%,16%,9%,-5%,-5%,-8%,-6%,-2%,
Net Profit+,-61,-26,-93,-62,23,-44,-13,-119,-389,-205,-113,136,160
EPS in Rs,-60.76,-26.42,-92.54,-11.40,2.78,-4.56,-1.90,-13.61,-44.83,-24.96,-13.34,16.81,20.00
Dividend Payout %,0%,0%,0%,0%,36%,-11%,0%,0%,0%,0%,0%,0%,
