Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,511,546,546,557,607,739,455,788,557,617,983,895
Expenses+,340,357,376,423,468,607,355,618,496,516,782,772
Operating Profit,171,189,170,134,139,132,100,171,61,101,201,124
OPM %,34%,35%,31%,24%,23%,18%,22%,22%,11%,16%,20%,14%
Other Income+,13,20,3,2,22,39,4,27,44,14,19,43
Interest,21,16,9,6,4,7,3,4,4,7,14,20
Depreciation,21,21,22,23,27,26,23,21,21,21,16,18
Profit before tax,142,171,142,107,130,138,79,173,79,87,190,129
Tax %,30%,34%,35%,35%,37%,25%,31%,28%,28%,36%,28%,
Net Profit+,99,110,83,64,71,103,54,125,57,56,136,85
EPS in Rs,4.94,5.50,4.18,3.19,3.58,5.18,2.72,6.27,2.88,2.82,6.95,4.68
Dividend Payout %,6%,6%,9%,16%,14%,10%,18%,8%,17%,18%,7%,
