Metric,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2025,TTM
Sales+,595,786,"1,071","1,436","1,725","1,820","1,941","1,979","2,075","2,253","2,712","2,529","2,653"
Expenses+,499,653,865,"1,185","1,467","1,566","1,608","1,662","1,785","1,981","2,396","1,915","2,038"
Operating Profit,96,133,206,250,259,254,333,317,290,272,316,614,615
OPM %,16%,17%,19%,17%,15%,14%,17%,16%,14%,12%,12%,24%,23%
Other Income+,-2,14,4,5,27,4,3,13,1,3,29,75,91
Interest,17,40,36,42,69,72,78,41,33,56,87,85,69
Depreciation,28,50,55,65,93,110,125,115,111,114,151,177,171
Profit before tax,49,57,118,148,124,75,134,174,147,105,107,427,465
Tax %,36%,23%,34%,37%,34%,55%,36%,38%,32%,30%,35%,24%,
Net Profit+,32,44,78,94,82,34,85,108,100,74,70,322,352
EPS in Rs,,,11.84,14.17,12.43,5.15,11.82,15.01,13.87,10.25,9.69,49.83,54.39
Dividend Payout %,28%,25%,21%,21%,24%,58%,30%,27%,29%,39%,31%,14%,
