Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,624","1,457","1,549","1,989","2,338","2,811","3,017","3,101"
Expenses+,"1,332","1,230","1,275","1,653","1,959","2,330","2,500","2,574"
Operating Profit,292,227,274,336,380,482,517,527
OPM %,18%,16%,18%,17%,16%,17%,17%,17%
Other Income+,3,16,23,15,18,2,20,41
Interest,54,61,50,53,64,79,72,46
Depreciation,76,94,102,120,130,149,174,189
Profit before tax,165,89,146,178,203,256,291,332
Tax %,41%,10%,25%,26%,27%,27%,26%,
Net Profit+,98,80,110,132,148,188,217,250
EPS in Rs,20.50,17.11,23.01,25.01,27.62,34.65,34.75,40.16
Dividend Payout %,0%,0%,0%,0%,9%,9%,9%,
