Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,194,133,108,196,96,101,380,490,475,325,889,681,493
Expenses+,103,378,463,254,119,134,372,514,399,231,881,692,545
Operating Profit,91,-245,-355,-58,-23,-33,8,-24,76,94,8,-11,-52
OPM %,47%,-185%,-328%,-29%,-24%,-33%,2%,-5%,16%,29%,1%,-2%,-11%
Other Income+,9,15,-14,-616,12,11,22,68,2,4,265,13,44
Interest,6,3,1,1,3,4,150,115,101,106,139,160,135
Depreciation,3,3,3,3,3,3,2,2,5,3,5,7,9
Profit before tax,90,-236,-373,-677,-16,-28,-122,-73,-27,-11,129,-165,-152
Tax %,37%,0%,1%,0%,11%,36%,-26%,-272%,5%,134%,5%,1%,0%
Net Profit+,57,-237,-376,-679,-18,-38,-99,121,-34,-27,123,-166,-153
EPS in Rs,1.04,-4.38,-6.94,-12.55,-0.34,-0.71,-1.83,1.93,-0.54,-0.33,1.06,-1.21,-1.12
Raw PDF,,,,,,,,,,,,,
