Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,35,80,408,"1,781","1,754","2,255","2,854"
Expenses+,220,257,668,"2,488","2,438","2,836","3,434"
Operating Profit,-185,-177,-260,-708,-685,-581,-580
OPM %,-523%,-222%,-64%,-40%,-39%,-26%,-20%
Other Income+,14,7,4,21,-139,50,97
Interest,24,28,40,65,89,111,102
Depreciation,25,35,48,113,147,171,180
Profit before tax,-220,-233,-344,-864,"-1,060",-812,-764
Tax %,0%,0%,0%,0%,0%,0%,
Net Profit+,-220,-233,-344,-864,"-1,060",-812,-764
EPS in Rs,"-20,118.94","-21,344.92","-30,078.67","-75,436.30","-92,469.46",-27.95,-81.10
Dividend Payout %,0%,0%,0%,0%,0%,0%,
