Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,116,131,138,161,186,211,252,294,299
Expenses+,100,118,123,142,158,172,208,251,257
Operating Profit,15,13,15,18,28,39,44,43,42
OPM %,13%,10%,11%,11%,15%,18%,18%,15%,14%
Other Income+,0,0,0,0,0,0,0,2,2
Interest,3,4,6,8,7,9,9,5,5
Depreciation,2,2,2,2,2,2,2,2,2
Profit before tax,10,7,6,9,18,28,33,38,37
Tax %,34%,34%,36%,27%,26%,27%,15%,28%,
Net Profit+,6,5,4,6,14,20,28,27,26
EPS in Rs,5.10,3.90,3.09,5.02,10.92,3.14,3.06,2.96,2.85
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,
