Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,17.71,45.07,40.03,36.14,41.61,48.79,65.04,78.49,80.30
Expenses+,14.51,34.67,34.43,33.17,37.42,44.03,59.40,72.09,73.91
Operating Profit,3.20,10.40,5.60,2.97,4.19,4.76,5.64,6.40,6.39
OPM %,18.07%,23.08%,13.99%,8.22%,10.07%,9.76%,8.67%,8.15%,7.96%
Other Income+,0.08,0.31,0.28,0.36,0.66,0.32,0.75,0.92,1.00
Interest,0.62,0.55,0.48,0.49,0.56,0.33,1.24,1.41,1.53
Depreciation,1.00,2.27,1.69,1.21,1.06,1.34,1.95,3.06,3.10
Profit before tax,1.66,7.89,3.71,1.63,3.23,3.41,3.20,2.85,2.76
Tax %,36.14%,28.77%,41.78%,29.45%,34.98%,29.62%,22.81%,42.11%,
Net Profit+,1.06,5.62,2.23,1.12,2.14,2.40,2.44,1.65,1.57
EPS in Rs,1.04,5.51,2.19,1.10,2.11,2.36,2.40,1.62,1.54
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
