Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,215,214,258,323,477,457,470,550,565
Expenses+,183,189,234,274,412,420,434,506,521
Operating Profit,32,24,24,49,65,37,36,45,44
OPM %,15%,11%,9%,15%,14%,8%,8%,8%,8%
Other Income+,4,3,5,2,3,7,8,6,6
Interest,0,0,0,0,0,0,0,0,0
Depreciation,4,3,6,6,7,9,11,11,11
Profit before tax,33,24,22,45,60,35,33,40,39
Tax %,35%,26%,25%,26%,26%,26%,22%,26%,
Net Profit+,21,18,17,33,45,26,25,29,29
EPS in Rs,4.66,3.75,3.41,6.16,8.23,4.78,4.68,5.42,5.34
Dividend Payout %,21%,27%,35%,21%,21%,25%,26%,37%,
