Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales+,62,69,83,81,64,160,398,963,"1,452"
Expenses+,60,62,74,77,58,141,320,733,"1,122"
Operating Profit,2,7,9,4,6,19,78,230,330
OPM %,3%,10%,11%,5%,10%,12%,20%,24%,23%
Other Income+,0,1,1,3,1,2,5,33,4
Interest,0,0,1,2,2,6,24,110,186
Depreciation,0,0,0,1,1,1,25,74,39
Profit before tax,2,7,9,3,4,14,33,78,108
Tax %,28%,28%,28%,35%,15%,23%,30%,31%,
Net Profit+,1,5,7,2,3,11,23,53,87
EPS in Rs,,,2.73,0.67,0.97,3.38,6.37,15.72,27.04
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,
