Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,192,242,260,377,504,353,470,768,"1,337","1,047","1,048","1,100"
Expenses+,187,227,240,354,488,344,452,726,"1,285",987,"1,019","1,080"
Operating Profit,6,15,20,22,16,9,18,42,51,59,29,19
OPM %,3%,6%,8%,6%,3%,2%,4%,5%,4%,6%,3%,2%
Other Income+,3,3,4,5,5,6,8,9,8,5,17,26
Interest,5,6,8,6,9,10,8,11,20,21,12,11
Depreciation,2,3,3,2,3,3,3,4,5,6,6,6
Profit before tax,1,9,13,18,9,2,15,36,35,38,29,29
Tax %,22%,30%,28%,31%,11%,80%,16%,24%,22%,20%,21%,
Net Profit+,1,6,9,13,8,0,12,27,27,30,23,21
EPS in Rs,0.01,0.05,0.08,0.10,0.07,0.00,0.10,0.22,0.19,0.19,0.15,0.14
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,3%,0%,0%,0%,
