Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,170,278,170,210,129,210,155,162,146,123,149,141,117
Expenses+,134,152,129,149,81,134,108,109,104,87,107,110,75
Operating Profit,36,126,41,61,48,76,47,53,42,36,41,31,42
OPM %,21%,45%,24%,29%,37%,36%,30%,33%,29%,30%,28%,22%,36%
Other Income+,12,12,9,10,10,10,11,11,20,26,39,50,38
Interest,31,34,27,25,23,29,14,19,13,9,18,12,2
Depreciation,1,1,1,1,1,1,1,1,1,1,1,0,0
Profit before tax,16,103,22,45,35,57,44,44,49,53,62,68,78
Tax %,28%,27%,30%,25%,22%,27%,28%,26%,19%,21%,22%,23%,18%
Net Profit+,16,80,16,43,34,51,40,38,49,49,54,62,67
EPS in Rs,3.17,17.00,3.50,9.11,7.29,9.80,7.78,7.22,9.46,9.35,10.41,11.69,9.80
Raw PDF,,,,,,,,,,,,,
