Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,"1,231","1,463","1,302","1,422","1,507","1,789","1,668","1,746","1,875","2,267","2,062","2,155","2,346"
Expenses+,"1,170","1,385","1,231","1,348","1,426","1,690","1,575","1,650","1,771","2,126","1,928","2,014","2,187"
Operating Profit,61,78,71,73,81,99,93,96,104,141,133,141,159
OPM %,5%,5%,5%,5%,5%,6%,6%,6%,6%,6%,6%,7%,7%
Other Income+,6,6,10,7,9,8,7,7,5,6,9,9,7
Interest,20,20,19,19,21,22,21,21,24,32,30,30,31
Depreciation,38,51,53,52,55,58,60,60,64,70,73,76,79
Profit before tax,9,13,9,10,13,26,20,22,21,45,40,44,55
Tax %,35%,27%,51%,34%,30%,31%,50%,36%,37%,39%,52%,44%,40%
Net Profit+,5,8,2,5,8,17,9,14,13,26,19,24,33
EPS in Rs,0.01,0.03,0.01,0.01,0.02,0.06,0.02,0.03,0.04,0.09,0.07,0.08,0.12
Raw PDF,,,,,,,,,,,,,
