Metric,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales+,"1,421","1,460","1,492","1,553","1,518","1,211","1,519","1,754","1,511","1,333","1,589","2,044","2,063"
Expenses+,"1,246","1,295","1,313","1,337","1,324","1,063","1,306","1,532","1,374","1,230","1,461","1,857","1,879"
Operating Profit,175,165,179,216,194,148,213,222,137,103,127,187,183
OPM %,12%,11%,12%,14%,13%,12%,14%,13%,9%,8%,8%,9%,9%
Other Income+,3,9,39,5,16,12,9,12,9,5,3,5,17
Interest,46,41,39,31,32,25,21,16,10,5,4,5,5
Depreciation,46,58,68,104,99,79,96,96,93,83,71,73,77
Profit before tax,86,74,111,86,79,56,104,122,43,21,56,114,118
Tax %,30%,35%,22%,31%,32%,28%,34%,36%,18%,33%,27%,24%,
Net Profit+,60,48,86,58,54,40,68,78,35,14,41,87,90
EPS in Rs,2.25,1.76,3.13,1.75,1.71,1.71,2.94,2.73,1.13,0.44,1.38,3.05,3.13
Dividend Payout %,27%,34%,23%,34%,27%,27%,16%,27%,28%,31%,26%,15%,
