Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,618,622,679,587,655,612,738,579,666,645,769,604,685
Expenses+,576,582,618,536,591,553,658,530,610,591,707,556,632
Operating Profit,42,41,61,51,64,59,79,49,56,53,62,48,54
OPM %,7%,7%,9%,9%,10%,10%,11%,8%,8%,8%,8%,8%,8%
Other Income+,1,4,4,-4,4,4,5,2,1,-0,4,2,4
Interest,10,12,12,11,11,11,13,14,13,13,12,13,12
Depreciation,17,17,19,17,18,19,19,19,19,23,29,26,26
Profit before tax,16,16,34,18,39,33,52,18,25,17,25,11,19
Tax %,29%,28%,29%,32%,25%,30%,34%,33%,30%,44%,25%,35%,34%
Net Profit+,12,11,24,13,30,23,34,12,17,10,19,7,12
EPS in Rs,3.46,2.81,5.73,3.43,6.90,5.22,7.51,2.99,4.18,2.27,5.20,2.53,3.65
Raw PDF,,,,,,,,,,,,,
