Metric,Sep 2013,Sep 2014,Mar 201618m,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,135,123,200,144,150,191,220,226,260,313,320,305,297
Expenses+,133,124,178,125,124,155,170,181,209,252,260,262,264
Operating Profit,2,-1,22,18,25,36,50,45,51,62,60,43,34
OPM %,1%,-1%,11%,13%,17%,19%,23%,20%,19%,20%,19%,14%,11%
Other Income+,0,19,5,5,6,4,4,3,5,3,3,5,6
Interest,10,7,13,8,6,7,13,10,8,9,7,6,6
Depreciation,9,9,11,8,9,13,20,22,25,28,22,22,22
Profit before tax,-17,2,2,7,15,20,20,16,23,28,34,20,13
Tax %,-2%,24%,0%,9%,20%,-11%,29%,22%,31%,29%,29%,52%,
Net Profit+,-17,2,2,6,12,22,14,12,16,20,24,10,4
EPS in Rs,-7.29,0.85,0.97,2.75,5.31,9.77,6.30,5.42,7.05,8.70,10.37,4.18,1.88
Dividend Payout %,0%,0%,0%,0%,0%,15%,19%,22%,26%,23%,21%,24%,
