Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,335,412,450,453,502,625,652,549,816,"1,119","1,391","1,648","1,753"
Expenses+,303,370,417,425,455,556,572,481,704,952,"1,137","1,379","1,479"
Operating Profit,32,42,33,28,47,69,80,68,113,168,255,269,273
OPM %,9%,10%,7%,6%,9%,11%,12%,12%,14%,15%,18%,16%,16%
Other Income+,3,2,4,5,5,3,6,19,15,20,29,46,49
Interest,16,18,18,17,15,18,33,30,30,31,33,40,34
Depreciation,8,12,11,12,12,13,48,46,45,49,65,86,94
Profit before tax,11,14,8,4,25,40,5,11,52,108,186,190,194
Tax %,18%,37%,47%,48%,28%,38%,139%,34%,29%,28%,26%,25%,
Net Profit+,9,9,4,2,18,25,-2,7,37,77,137,142,144
EPS in Rs,8.61,8.74,4.83,1.76,14.27,17.43,-0.46,4.45,25.08,42.75,81.90,75.46,77.99
Dividend Payout %,16%,21%,29%,78%,16%,13%,-398%,31%,12%,5%,76%,7%,
