Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,480","1,346","1,007","1,038","1,209","1,393","1,401","1,470","1,860","2,302","2,160","2,212","2,216"
Expenses+,"1,332","1,249",908,927,"1,078","1,249","1,287","1,381","1,702","2,081","1,938","2,017","2,017"
Operating Profit,149,97,99,111,131,144,114,89,158,221,222,195,199
OPM %,10%,7%,10%,11%,11%,10%,8%,6%,8%,10%,10%,9%,9%
Other Income+,26,227,10,15,12,13,16,14,13,18,12,5,11
Interest,67,53,20,17,19,27,31,39,42,54,58,56,57
Depreciation,94,85,47,46,54,58,80,80,91,112,118,102,99
Profit before tax,13,187,41,63,70,72,19,-16,38,74,57,43,54
Tax %,79%,18%,28%,18%,17%,29%,12%,-12%,37%,31%,32%,50%,
Net Profit+,3,154,30,52,58,51,17,-14,24,51,39,21,32
EPS in Rs,0.25,11.34,2.18,3.81,4.27,3.73,1.23,-1.05,1.75,3.62,2.83,1.58,2.36
Dividend Payout %,40%,26%,28%,20%,19%,21%,24%,-19%,23%,21%,21%,32%,
