Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,261,324,336,351,452,525,479,481,566,656,724,845,946
Expenses+,237,290,301,316,388,449,424,436,517,603,658,751,840
Operating Profit,24,33,35,35,64,76,55,45,50,53,66,94,106
OPM %,9%,10%,10%,10%,14%,14%,11%,9%,9%,8%,9%,11%,11%
Other Income+,9,7,9,14,13,15,26,16,25,23,25,30,30
Interest,0,0,0,0,0,0,1,1,0,0,0,0,0
Depreciation,6,8,4,4,6,8,9,10,13,15,15,21,21
Profit before tax,27,32,40,44,71,83,71,51,62,60,76,103,114
Tax %,24%,29%,27%,33%,29%,29%,24%,22%,18%,20%,22%,20%,
Net Profit+,21,23,29,30,50,59,54,40,50,48,59,82,89
EPS in Rs,9.39,10.21,12.80,13.08,22.01,25.88,24.02,17.52,22.21,21.32,26.21,36.37,39.52
Dividend Payout %,48%,44%,35%,38%,30%,27%,28%,34%,28%,43%,39%,34%,
