Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"3,851","2,729","2,606","2,650","3,954","5,685","4,281","4,737","4,842"
Expenses+,"3,105","1,941","2,167","2,052","2,785","3,719","3,366","3,638","3,603"
Operating Profit,745,788,439,598,"1,168","1,965",915,"1,100","1,239"
OPM %,19%,29%,17%,23%,30%,35%,21%,23%,26%
Other Income+,112,78,190,199,161,172,100,115,72
Interest,279,56,105,113,78,117,133,147,140
Depreciation,299,164,192,202,205,236,286,355,360
Profit before tax,279,645,332,482,"1,045","1,785",595,713,811
Tax %,14%,-93%,43%,146%,26%,26%,27%,23%,
Net Profit+,240,"1,246",189,-222,776,"1,323",435,546,622
EPS in Rs,,,17.87,-19.91,71.66,120.97,39.59,49.71,56.63
Dividend Payout %,15%,0%,0%,0%,6%,3%,8%,6%,
