Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,274,277,308,302,275,247,332,393,289,242,381,251,163
Expenses+,237,233,285,276,234,203,275,306,212,213,282,225,139
Operating Profit,37,44,23,26,41,44,57,87,77,29,99,26,24
OPM %,14%,16%,7%,9%,15%,18%,17%,22%,27%,12%,26%,10%,15%
Other Income+,14,14,10,14,11,15,9,9,4,-39,11,29,7
Interest,2,3,3,3,2,3,2,0,0,2,0,0,0
Depreciation,6,7,7,7,7,6,6,2,2,6,2,2,3
Profit before tax,43,48,23,30,43,50,58,94,79,-18,108,53,28
Tax %,26%,19%,30%,20%,19%,18%,17%,6%,29%,-44%,27%,21%,32%
Net Profit+,32,39,16,24,35,41,48,88,56,-10,79,42,19
EPS in Rs,4.72,5.57,2.29,3.48,5.08,5.95,6.96,12.76,8.15,-1.46,11.50,6.12,2.77
Raw PDF,,,,,,,,,,,,,
