Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,088","1,443","1,645","1,731","1,955","2,396","2,438","1,842","2,072","2,893","3,139","3,432","3,526"
Expenses+,"1,006","1,330","1,494","1,639","1,758","2,171","2,225","1,718","2,508","2,773","2,936","3,179","3,262"
Operating Profit,83,113,151,92,197,225,213,124,-436,120,202,254,263
OPM %,8%,8%,9%,5%,10%,9%,9%,7%,-21%,4%,6%,7%,7%
Other Income+,1,-4,-2,-11,9,9,6,12,20,45,23,39,33
Interest,44,47,50,33,36,36,38,47,52,57,79,93,94
Depreciation,28,28,33,49,51,50,54,49,54,57,60,67,68
Profit before tax,12,34,67,-1,119,148,127,41,-522,51,86,133,135
Tax %,-30%,6%,29%,-524%,27%,18%,26%,49%,2%,-4%,-6%,10%,
Net Profit+,16,32,47,5,87,121,94,21,-532,53,91,119,119
EPS in Rs,10.00,20.17,6.72,0.57,10.35,14.35,11.14,2.46,-55.83,4.54,7.59,9.95,9.98
Dividend Payout %,0%,0%,0%,88%,7%,7%,4%,20%,0%,0%,7%,10%,
