Metric,Sep 2014,Mar 20156m,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,118,13,7,2,2,0,0,0,0,80,326,239,193
Expenses+,160,30,30,22,1,220,57,7,1,79,285,228,187
Operating Profit,-42,-16,-23,-20,2,-219,-57,-7,-1,0,41,11,7
OPM %,-35%,-120%,-328%,"-1,014%",68%,"-66,503%","-26,919%",,,0%,13%,5%,4%
Other Income+,-1,1,-4,24,40,9,0,-2,-55,24,2,4,4
Interest,48,25,5,4,-0,5,0,0,4,4,6,8,9
Depreciation,10,6,12,9,9,9,4,0,0,0,1,2,2
Profit before tax,-101,-47,-44,-9,32,-224,-61,-8,-59,20,36,5,0
Tax %,-1%,-2%,1%,1%,0%,0%,0%,0%,0%,0%,-29%,482%,
Net Profit+,-101,-46,-45,-9,32,-224,-61,-8,-59,20,47,-18,-20
EPS in Rs,-47.90,-22.10,-20.62,-4.41,15.12,-85.38,-23.14,-3.19,-22.62,4.70,9.33,-2.77,-3.13
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
