Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,230,321,269,301,363,308,306,426,500,447,623,749,671
Expenses+,153,196,196,200,238,221,204,235,269,292,386,463,470
Operating Profit,78,125,73,102,125,87,101,191,231,155,237,285,201
OPM %,34%,39%,27%,34%,34%,28%,33%,45%,46%,35%,38%,38%,30%
Other Income+,-119,5,3,4,5,-6,-4,1,1,1,1,1,4
Interest,2,1,1,1,1,2,3,3,5,8,17,32,18
Depreciation,11,10,13,14,14,21,25,23,25,29,29,31,33
Profit before tax,-55,120,62,91,115,58,70,165,202,119,192,223,154
Tax %,40%,31%,29%,33%,33%,48%,27%,25%,26%,19%,25%,25%,
Net Profit+,-78,82,44,61,78,28,51,127,154,101,149,172,121
EPS in Rs,-2.75,2.87,1.37,2.04,2.64,0.83,1.69,4.43,5.40,3.48,5.19,6.00,4.20
Dividend Payout %,-3%,52%,62%,53%,65%,103%,76%,68%,48%,37%,25%,25%,
