Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,506.16,776.88,593.91,678.52,549.43,889.05,668.60,786.08,660.97,"1,026.73",780.08,885.22,806.87
Expenses+,452.57,673.19,570.99,626.06,548.76,769.36,628.37,687.10,622.35,855.36,711.94,759.05,735.36
Operating Profit,53.59,103.69,22.92,52.46,0.67,119.69,40.23,98.98,38.62,171.37,68.14,126.17,71.51
OPM %,10.59%,13.35%,3.86%,7.73%,0.12%,13.46%,6.02%,12.59%,5.84%,16.69%,8.74%,14.25%,8.86%
Other Income+,2.65,0.70,7.53,1.51,1.99,13.03,4.43,4.64,1.77,3.38,26.51,2.93,3.43
Interest,27.87,30.70,33.62,33.02,35.89,37.55,35.91,37.49,39.14,42.43,17.40,18.24,17.45
Depreciation,44.05,47.27,48.41,49.91,53.19,58.29,60.74,56.81,59.24,62.58,54.36,67.92,71.10
Profit before tax,-15.68,26.42,-51.58,-28.96,-86.42,36.88,-51.99,9.32,-57.99,69.74,22.89,42.94,-13.61
Tax %,-27.87%,24.38%,-28.32%,-24.24%,-25.80%,23.45%,-25.14%,-30.26%,-2.55%,-2.71%,19.13%,21.75%,-34.83%
Net Profit+,-11.31,19.97,-36.96,-21.94,-64.12,28.23,-38.92,12.14,-56.51,71.63,18.51,33.60,-8.87
EPS in Rs,-1.43,2.52,-4.67,-2.77,-8.11,3.57,-4.92,1.53,-7.14,9.04,2.34,4.23,-1.12
Raw PDF,,,,,,,,,,,,,
