Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,714.80,712.53,767.85,622.96,693.21,692.93,772.43,599.91,629.83,594.23,699.02,531.16,676.31
Expenses+,659.17,662.84,685.24,560.42,618.80,642.30,697.58,556.90,600.12,564.82,658.13,482.41,619.90
Operating Profit,55.63,49.69,82.61,62.54,74.41,50.63,74.85,43.01,29.71,29.41,40.89,48.75,56.41
OPM %,7.78%,6.97%,10.76%,10.04%,10.73%,7.31%,9.69%,7.17%,4.72%,4.95%,5.85%,9.18%,8.34%
Other Income+,8.62,10.70,7.15,5.56,5.34,10.67,-5.48,11.84,8.78,7.29,-16.22,-40.36,4.41
Interest,18.65,21.99,22.93,21.84,23.76,23.53,24.29,23.93,23.55,22.56,19.10,17.93,17.14
Depreciation,25.16,25.13,28.37,28.26,29.47,31.34,30.69,30.73,30.89,30.55,30.36,30.24,29.00
Profit before tax,20.44,13.27,38.46,18.00,26.52,6.43,14.39,0.19,-15.95,-16.41,-24.79,-39.78,14.68
Tax %,24.12%,26.53%,25.35%,84.06%,21.34%,4.82%,52.12%,110.53%,-24.39%,-22.79%,2.34%,-37.33%,43.73%
Net Profit+,16.25,7.78,22.75,0.67,19.70,4.53,2.73,-3.91,-15.55,-17.73,-30.82,-29.07,5.04
EPS in Rs,1.94,0.93,2.72,0.03,2.29,0.54,0.26,-0.48,-1.86,-2.12,-3.70,-3.48,0.59
Raw PDF,,,,,,,,,,,,,
