Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,"8,561","8,066","8,031","9,056","9,933","10,114","9,942","10,314","11,302","11,035","11,542","12,210","14,051"
Expenses+,"7,490","7,055","6,982","7,852","8,588","8,639","8,487","8,884","9,678","9,402","9,638","10,407","11,941"
Operating Profit,"1,071","1,011","1,049","1,204","1,345","1,475","1,455","1,431","1,624","1,633","1,904","1,803","2,110"
OPM %,13%,13%,13%,13%,14%,15%,15%,14%,14%,15%,16%,15%,15%
Other Income+,30,8,67,87,51,12,-34,48,32,70,-57,40,-14
Interest,338,339,398,437,483,494,511,500,509,536,551,551,552
Depreciation,212,216,232,227,237,242,263,241,259,258,292,315,320
Profit before tax,550,464,486,627,676,750,647,738,888,908,"1,004",977,"1,223"
Tax %,32%,35%,31%,30%,38%,32%,36%,34%,34%,33%,31%,34%,32%
Net Profit+,373,304,336,441,416,510,412,485,588,609,698,643,833
EPS in Rs,8.13,6.33,7.07,9.14,8.13,10.08,8.15,9.70,11.80,11.91,13.64,12.84,16.74
Raw PDF,,,,,,,,,,,,,
