Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,312,297,346,358,150,253,375,405,436,442
Expenses+,317,298,334,301,151,216,298,334,364,367
Operating Profit,-5,-1,12,57,-1,37,77,70,73,75
OPM %,-2%,-0%,4%,16%,-1%,15%,20%,17%,17%,17%
Other Income+,9,6,9,-17,20,13,33,21,19,17
Interest,0,0,0,21,16,15,14,15,14,14
Depreciation,33,30,29,57,32,27,32,42,49,51
Profit before tax,-29,-25,-7,-39,-29,8,63,35,29,26
Tax %,-12%,91%,15%,-2%,1%,0%,-53%,15%,23%,
Net Profit+,-26,-47,-8,-38,-29,8,97,30,22,19
EPS in Rs,-5.43,-9.96,-1.66,-8.09,-6.25,1.74,20.61,6.11,4.50,4.10
Dividend Payout %,0%,0%,0%,0%,0%,0%,12%,16%,22%,
