Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,390,582,960,"1,277","1,424","1,839","2,281","2,603"
Expenses+,382,570,948,"1,266","1,395","1,802","2,236","2,560"
Operating Profit,8,11,12,11,29,37,45,43
OPM %,2%,2%,1%,1%,2%,2%,2%,2%
Other Income+,0,2,5,8,5,15,19,32
Interest,3,8,8,11,15,26,30,29
Depreciation,1,3,3,4,3,3,2,2
Profit before tax,3,3,6,4,16,23,31,44
Tax %,28%,20%,20%,20%,21%,11%,27%,
Net Profit+,2,2,5,4,13,20,23,36
EPS in Rs,0.58,0.11,0.20,0.14,0.40,0.61,0.70,1.09
Dividend Payout %,2%,51%,43%,61%,2%,1%,1%,
