Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,41,120,82,65,56,31,106,120,99,92,97,187,209
Expenses+,16,90,69,41,34,23,261,106,38,60,88,147,177
Operating Profit,26,30,13,24,21,8,-155,14,61,33,8,41,31
OPM %,62%,25%,15%,37%,38%,25%,-147%,12%,61%,36%,9%,22%,15%
Other Income+,5,4,4,4,5,10,84,6,40,28,44,48,55
Interest,34,24,15,32,15,11,16,14,65,37,19,16,27
Depreciation,1,1,1,1,1,1,1,1,1,1,1,1,1
Profit before tax,-5,9,1,-4,10,6,-88,5,36,23,33,72,58
Tax %,-714%,-20%,-4%,-104%,24%,19%,2%,-20%,18%,31%,87%,-14%,46%
Net Profit+,29,14,5,-1,3,3,-90,5,19,20,2,82,32
EPS in Rs,4.09,1.52,0.64,-0.19,0.34,0.28,-11.08,0.68,1.29,1.61,0.26,5.85,1.69
Raw PDF,,,,,,,,,,,,,
