Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,740,764,833,931,"1,135","1,402","1,548",986,"1,576","2,278","2,392","2,491","2,556"
Expenses+,693,745,786,881,"1,050","1,277","1,329",925,"1,379","1,896","2,015","2,162","2,239"
Operating Profit,48,19,48,50,84,125,219,61,197,382,377,329,318
OPM %,6%,2%,6%,5%,7%,9%,14%,6%,13%,17%,16%,13%,12%
Other Income+,1,12,28,17,11,8,-8,34,20,12,11,15,83
Interest,5,10,15,15,15,18,81,85,83,93,110,127,137
Depreciation,44,50,58,64,67,80,138,140,136,152,182,204,217
Profit before tax,1,-29,3,-12,13,35,-9,-129,-2,149,96,13,46
Tax %,-45%,0%,8%,0%,0%,39%,-16%,-23%,-19%,25%,28%,7%,
Net Profit+,1,-29,3,-12,13,21,-7,-99,-2,112,69,12,37
EPS in Rs,0.06,-1.87,0.18,-0.78,0.83,1.37,-0.47,-6.38,-0.11,7.16,4.44,0.78,2.41
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,48%,78%,96%,
