Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,663","1,951","2,250","2,451","2,421","2,580","2,692","2,856","5,020","7,397","4,662","5,147","5,420"
Expenses+,"1,296","1,379","1,576","1,722","1,707","1,821","1,904","1,990","3,513","5,224","3,423","3,825","4,019"
Operating Profit,367,572,674,729,714,759,789,865,"1,507","2,173","1,239","1,322","1,401"
OPM %,22%,29%,30%,30%,29%,29%,29%,30%,30%,29%,27%,26%,26%
Other Income+,2,14,0,1,-0,-3,14,21,-2,-6,0,0,-0
Interest,27,23,16,15,15,13,6,0,0,0,0,0,0
Depreciation,69,41,64,96,108,135,180,226,246,266,285,307,310
Profit before tax,273,522,594,619,590,609,617,660,"1,258","1,900",954,"1,015","1,091"
Tax %,19%,34%,33%,31%,31%,27%,29%,27%,27%,28%,28%,30%,
Net Profit+,221,342,400,429,407,444,440,483,912,"1,371",688,710,761
EPS in Rs,2.23,3.45,4.03,4.33,4.10,4.47,4.44,4.57,4.52,6.79,3.41,3.52,3.77
Dividend Payout %,0%,0%,2%,0%,0%,0%,1%,1%,7%,0%,0%,0%,
