Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,197,224,257,289,267,363,332,423,449,501,545,727,732
Expenses+,134,143,166,195,180,269,253,316,323,344,375,516,512
Operating Profit,63,81,91,93,87,94,79,107,126,157,170,211,220
OPM %,32%,36%,35%,32%,33%,26%,24%,25%,28%,31%,31%,29%,30%
Other Income+,7,18,18,15,23,25,20,10,14,11,12,18,23
Interest,0,0,0,0,0,0,2,2,2,1,1,1,1
Depreciation,5,5,4,6,8,11,15,21,21,19,20,27,28
Profit before tax,64,93,105,103,102,107,81,93,118,147,161,201,215
Tax %,34%,34%,32%,31%,31%,29%,26%,37%,26%,26%,26%,26%,
Net Profit+,42,61,71,70,70,76,60,59,87,109,119,149,158
EPS in Rs,25.08,33.00,38.27,37.83,37.71,40.84,32.15,32.44,50.93,63.83,69.43,87.05,92.52
Dividend Payout %,68%,67%,58%,-0%,32%,61%,156%,-0%,-0%,31%,108%,95%,
