Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,319,343,398,404,359,322,422,511,523,554,548
Expenses+,265,277,313,327,309,290,386,474,483,496,493
Operating Profit,53,67,85,77,50,32,36,37,39,58,55
OPM %,17%,19%,21%,19%,14%,10%,8%,7%,8%,10%,10%
Other Income+,1,5,4,1,0,2,1,1,2,3,3
Interest,8,6,5,4,3,4,7,12,15,17,17
Depreciation,25,24,26,26,26,26,29,31,34,34,34
Profit before tax,22,41,59,49,22,3,0,-5,-8,9,6
Tax %,35%,32%,33%,30%,17%,35%,708%,16%,62%,21%,
Net Profit+,14,28,39,34,18,2,-1,-6,-13,7,5
EPS in Rs,10.02,19.97,28.08,24.10,13.00,1.50,-0.56,-4.24,-9.31,4.97,3.29
Dividend Payout %,20%,15%,16%,19%,23%,67%,-266%,-35%,-13%,50%,
