Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,332,370,409,400,421,393,275,324,377,205,217,218
Expenses+,296,352,425,399,408,338,248,305,395,241,198,202
Operating Profit,37,18,-16,1,13,56,27,19,-19,-36,20,16
OPM %,11%,5%,-4%,0%,3%,14%,10%,6%,-5%,-17%,9%,7%
Other Income+,11,12,10,9,4,9,15,12,5,-31,134,22
Interest,4,4,5,7,9,22,19,21,42,27,32,32
Depreciation,12,17,20,24,29,75,60,78,61,35,38,38
Profit before tax,32,9,-31,-20,-21,-33,-37,-68,-116,-130,84,-33
Tax %,0%,0%,-8%,-2%,-26%,64%,0%,0%,0%,0%,0%,
Net Profit+,32,9,-28,-20,-16,-54,-37,-68,-116,-130,84,-33
EPS in Rs,,6.82,-22.23,-16.22,-12.22,-41.66,-29.10,-52.69,-89.15,-98.91,63.89,-25.27
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
