Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,90,73,89,80,96,146,162,188,318,323,923,"1,355","1,780"
Expenses+,75,63,77,64,77,112,127,149,263,271,795,"1,171","1,541"
Operating Profit,15,10,12,15,19,33,35,39,56,52,128,184,239
OPM %,17%,13%,13%,19%,20%,23%,22%,21%,17%,16%,14%,14%,13%
Other Income+,0,4,2,1,1,0,0,2,1,3,2,10,14
Interest,4,5,5,4,6,3,3,2,4,7,37,39,34
Depreciation,4,3,6,6,8,11,12,10,10,9,34,31,32
Profit before tax,8,5,3,6,6,19,21,28,43,39,59,123,188
Tax %,33%,43%,54%,46%,44%,29%,34%,31%,31%,31%,32%,30%,
Net Profit+,5,3,1,3,4,14,14,20,29,27,40,87,117
EPS in Rs,1.40,0.70,0.33,0.66,0.71,2.71,2.77,3.75,4.97,4.51,6.68,14.29,19.35
Dividend Payout %,0%,0%,0%,0%,0%,0%,9%,7%,5%,6%,8%,4%,
