Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,292","1,179","1,374","1,421","1,536","1,681","2,055"
Expenses+,983,866,"1,004","1,052","1,156","1,295","1,611"
Operating Profit,309,314,369,369,380,386,444
OPM %,24%,27%,27%,26%,25%,23%,22%
Other Income+,25,11,34,27,23,164,161
Interest,103,80,65,46,47,48,56
Depreciation,133,131,128,104,95,115,139
Profit before tax,98,113,210,246,261,387,410
Tax %,-6%,17%,-7%,2%,1%,3%,
Net Profit+,104,94,224,242,258,374,393
EPS in Rs,5.11,4.69,4.48,4.80,5.13,7.42,7.80
Dividend Payout %,0%,212%,28%,42%,39%,27%,
