Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,"18,302","20,267","22,517","22,462","23,474","25,644","27,058","28,868","27,812","27,666","29,317","30,212","30,173"
Expenses+,"16,864","18,665","20,481","20,538","21,585","23,273","24,124","26,093","25,364","24,980","26,674","27,754","27,562"
Operating Profit,"1,438","1,602","2,036","1,925","1,889","2,370","2,935","2,775","2,448","2,686","2,643","2,458","2,611"
OPM %,8%,8%,9%,9%,8%,9%,11%,10%,9%,10%,9%,8%,9%
Other Income+,-46,80,35,76,-10,117,161,179,443,214,248,68,231
Interest,184,149,278,253,488,620,450,444,546,466,426,425,387
Depreciation,749,815,840,839,867,"1,016","1,088","1,065","1,103","1,112","1,214","1,230","1,218"
Profit before tax,460,718,953,909,523,851,"1,557","1,445","1,242","1,322","1,252",872,"1,237"
Tax %,37%,30%,27%,29%,44%,26%,7%,24%,24%,26%,11%,30%,32%
Net Profit+,288,501,699,648,294,633,"1,444","1,097",949,984,"1,115",606,846
EPS in Rs,0.24,0.45,0.64,0.59,0.20,0.53,1.35,0.98,0.83,0.83,1.00,0.48,0.78
Raw PDF,,,,,,,,,,,,,
