Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,574","2,237","1,931","1,499","1,994","2,592","2,079","1,527","1,875","2,829","1,944","3,086","3,113"
Expenses+,"1,662","2,174","1,891","1,445","1,883","2,492","1,966","1,456","1,699","2,474","1,690","2,802","2,836"
Operating Profit,-88,63,40,54,111,100,113,71,176,354,254,284,276
OPM %,-6%,3%,2%,4%,6%,4%,5%,5%,9%,13%,13%,9%,9%
Other Income+,215,11,38,50,20,34,24,58,56,41,-8,44,62
Interest,31,32,15,11,41,36,34,14,14,31,38,55,55
Depreciation,60,34,32,31,40,32,32,38,44,44,38,38,38
Profit before tax,37,8,31,63,50,66,70,77,174,321,170,235,245
Tax %,-9%,-37%,-0%,9%,9%,4%,4%,4%,6%,6%,34%,34%,
Net Profit+,39,10,31,57,45,63,67,74,163,301,113,156,160
EPS in Rs,1.91,0.51,1.52,2.81,2.23,3.09,3.31,3.64,8.02,14.77,5.55,7.64,7.86
Dividend Payout %,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,6%,10%,27%,26%,
