Metric,Mar 20149m,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,115","1,648","1,667","1,691","1,736","1,863","1,708","1,314","1,490","1,723","1,479","1,510","1,561"
Expenses+,"1,032","1,509","1,536","1,593","1,657","1,767","1,671","1,287","1,452","1,653","1,429","1,443","1,500"
Operating Profit,82,139,131,98,79,96,37,28,38,70,50,67,61
OPM %,7%,8%,8%,6%,5%,5%,2%,2%,3%,4%,3%,4%,4%
Other Income+,12,12,15,10,54,16,13,-195,24,24,48,35,43
Interest,32,42,42,52,49,47,55,45,27,29,30,23,21
Depreciation,22,33,38,30,30,30,44,40,35,59,69,73,73
Profit before tax,40,76,65,27,54,35,-48,-253,-0,5,-1,5,11
Tax %,29%,25%,24%,35%,28%,35%,74%,-3%,786%,306%,-677%,-119%,
Net Profit+,28,57,49,17,39,23,-84,-246,-4,-11,6,12,15
EPS in Rs,2.68,4.71,4.20,1.22,3.16,1.69,-6.42,-18.69,0.72,-0.71,1.12,0.91,1.21
Dividend Payout %,26%,30%,24%,65%,28%,47%,0%,0%,0%,0%,0%,0%,
